ID,Gradi,Eta,Sesso,tipi_di_pdf,categorie,Codice_Regione
ID1,generale,19,0,western,Informazioni e Sicurezza,11
ID2,colonnello,31,0,sci-fi,Area Giuridico-Legale,10
ID3,colonnello,29,1,fantascientifico,Informazioni e Sicurezza,12
ID4,colonnello,32,0,sci-fi,Tutela della Salute,17
ID5,colonnello,54,0,romantico,Informazioni e Sicurezza,19
ID6,colonnello,56,1,fantasy,Area Giuridico-Legale,1
ID7,colonnello,40,0,romantico,Attività Finanziaria,13
ID8,colonnello,57,0,western,Area Giuridico-Legale,10
ID9,colonnello,63,1,romantico,Informazioni e Sicurezza,12
ID10,colonnello,25,1,western,Tutela della Salute,9
ID11,colonnello,63,0,azione,Attività Finanziaria,10
ID12,colonnello,26,1,western,Area Giuridico-Legale,8
ID13,colonnello,44,0,western,Tutela della Salute,13
ID14,colonnello,47,1,fantasy,Tutela della Salute,15
ID15,colonnello,29,1,romantico,Area Giuridico-Legale,8
ID16,colonnello,65,1,azione,Area Giuridico-Legale,12
ID17,colonnello,26,0,fantascientifico,Attività Finanziaria,2
ID18,colonnello,59,1,azione,Area Giuridico-Legale,13
ID19,colonnello,43,0,sci-fi,Tutela della Salute,2
ID20,colonnello,20,0,thriller,Attività Finanziaria,17
ID21,colonnello,69,1,thriller,Tutela della Salute,16
ID22,colonnello,61,0,sci-fi,Tutela della Salute,3
ID23,colonnello,43,0,fantascientifico,Tutela della Salute,18
ID24,tenente colonnello,19,1,western,Attività Finanziaria,7
ID25,tenente colonnello,29,0,romantico,Informazioni e Sicurezza,5
ID26,tenente colonnello,24,0,fantasy,Attività Finanziaria,16
ID27,tenente colonnello,32,1,romantico,Attività Finanziaria,19
ID28,tenente colonnello,39,1,fantasy,Tutela della Salute,20
ID29,tenente colonnello,52,1,romantico,Area Giuridico-Legale,14
ID30,tenente colonnello,28,0,western,Attività Finanziaria,18
ID31,tenente colonnello,46,0,sci-fi,Tutela della Salute,11
ID32,tenente colonnello,53,1,fantascientifico,Attività Finanziaria,17
ID33,tenente colonnello,39,0,fantasy,Attività Finanziaria,9
ID34,tenente colonnello,33,0,fantasy,Area Giuridico-Legale,13
ID35,tenente colonnello,46,1,fantascientifico,Informazioni e Sicurezza,14
ID36,tenente colonnello,56,1,thriller,Tutela della Salute,20
ID37,tenente colonnello,39,0,western,Attività Finanziaria,10
ID38,tenente colonnello,46,0,azione,Area Giuridico-Legale,4
ID39,tenente colonnello,50,1,fantascientifico,Tutela della Salute,9
ID40,tenente colonnello,56,1,western,Attività Finanziaria,11
ID41,tenente colonnello,41,0,fantascientifico,Attività Finanziaria,5
ID42,tenente colonnello,61,0,western,Tutela della Salute,12
ID43,tenente colonnello,20,1,sci-fi,Attività Finanziaria,14
ID44,tenente colonnello,71,0,sci-fi,Informazioni e Sicurezza,14
ID45,tenente colonnello,35,0,fantasy,Area Giuridico-Legale,14
ID46,tenente colonnello,69,0,sci-fi,Attività Finanziaria,10
ID47,tenente colonnello,60,1,thriller,Tutela della Salute,7
ID48,tenente colonnello,36,1,fantasy,Tutela della Salute,12
ID49,tenente colonnello,22,0,azione,Informazioni e Sicurezza,10
ID50,tenente colonnello,66,0,western,Informazioni e Sicurezza,8
ID51,tenente colonnello,58,0,fantasy,Tutela della Salute,10
ID52,tenente colonnello,32,1,thriller,Attività Finanziaria,17
ID53,tenente colonnello,26,1,thriller,Attività Finanziaria,14
ID54,tenente colonnello,67,0,azione,Area Giuridico-Legale,5
ID55,tenente colonnello,53,0,azione,Informazioni e Sicurezza,7
ID56,tenente colonnello,67,0,thriller,Area Giuridico-Legale,4
ID57,tenente colonnello,31,1,fantasy,Tutela della Salute,12
ID58,tenente colonnello,38,0,western,Tutela della Salute,1
ID59,tenente colonnello,54,0,romantico,Attività Finanziaria,11
ID60,tenente colonnello,61,0,fantascientifico,Attività Finanziaria,20
ID61,tenente colonnello,49,0,fantasy,Informazioni e Sicurezza,1
ID62,tenente colonnello,37,0,romantico,Attività Finanziaria,11
ID63,tenente colonnello,54,0,sci-fi,Informazioni e Sicurezza,12
ID64,tenente colonnello,41,1,western,Area Giuridico-Legale,12
ID65,tenente colonnello,26,1,romantico,Attività Finanziaria,4
ID66,tenente colonnello,63,1,azione,Area Giuridico-Legale,19
ID67,tenente colonnello,45,0,sci-fi,Tutela della Salute,18
ID68,tenente colonnello,54,1,romantico,Attività Finanziaria,5
ID69,maggiore,21,0,thriller,Area Giuridico-Legale,17
ID70,maggiore,27,1,western,Tutela della Salute,9
ID71,maggiore,32,1,fantascientifico,Area Giuridico-Legale,10
ID72,maggiore,25,1,western,Area Giuridico-Legale,7
ID73,maggiore,29,1,azione,Informazioni e Sicurezza,3
ID74,maggiore,50,1,fantasy,Informazioni e Sicurezza,15
ID75,maggiore,30,0,thriller,Informazioni e Sicurezza,14
ID76,maggiore,27,0,sci-fi,Area Giuridico-Legale,3
ID77,maggiore,19,0,fantasy,Tutela della Salute,12
ID78,maggiore,58,1,fantasy,Informazioni e Sicurezza,4
ID79,maggiore,45,1,romantico,Area Giuridico-Legale,8
ID80,maggiore,34,1,fantascientifico,Area Giuridico-Legale,19
ID81,maggiore,25,1,azione,Attività Finanziaria,5
ID82,maggiore,62,1,azione,Informazioni e Sicurezza,17
ID83,maggiore,47,0,western,Tutela della Salute,12
ID84,maggiore,66,1,fantasy,Informazioni e Sicurezza,11
ID85,maggiore,27,0,sci-fi,Informazioni e Sicurezza,6
ID86,maggiore,19,1,thriller,Tutela della Salute,19
ID87,maggiore,31,0,fantascientifico,Informazioni e Sicurezza,1
ID88,maggiore,29,1,sci-fi,Informazioni e Sicurezza,18
ID89,maggiore,20,0,romantico,Area Giuridico-Legale,5
ID90,maggiore,35,1,romantico,Attività Finanziaria,5
ID91,maggiore,24,1,western,Informazioni e Sicurezza,14
ID92,maggiore,34,1,azione,Tutela della Salute,2
ID93,maggiore,22,0,fantasy,Tutela della Salute,3
ID94,maggiore,63,0,thriller,Attività Finanziaria,15
ID95,maggiore,22,1,fantascientifico,Area Giuridico-Legale,5
ID96,maggiore,30,0,fantascientifico,Tutela della Salute,12
ID97,maggiore,40,0,thriller,Area Giuridico-Legale,17
ID98,maggiore,52,1,thriller,Informazioni e Sicurezza,10
ID99,maggiore,45,0,thriller,Informazioni e Sicurezza,12
